iter	Passed	Remaining
708	16942	6953
709	16965	6929
710	16988	6905
711	17012	6881
712	17036	6857
713	17059	6833
714	17082	6809
715	17106	6785
716	17129	6760
717	17152	6736
718	17176	6713
719	17204	6690
720	17228	6666
721	17251	6642
722	17275	6618
723	17296	6593
724	17321	6570
725	17344	6545
726	17364	6520
727	17388	6496
728	17414	6473
729	17437	6449
730	17460	6425
731	17484	6401
732	17505	6376
733	17527	6352
734	17549	6327
735	17572	6303
736	17595	6278
737	17615	6253
738	17640	6230
739	17687	6214
740	17728	6196
741	17765	6177
742	17796	6155
743	17820	6131
744	17845	6108
745	17868	6083
746	17892	6060
747	17921	6037
748	17945	6013
749	17967	5989
750	17991	5965
751	18013	5940
752	18036	5916
753	18058	5891
754	18081	5867
755	18102	5842
756	18125	5818
757	18147	5793
758	18169	5769
759	18190	5744
760	18212	5719
761	18236	5696
762	18260	5671
763	18284	5648
764	18307	5623
765	18330	5599
766	18353	5575
767	18379	5552
768	18402	5527
769	18425	5503
770	18446	5479
771	18467	5454
772	18492	5430
773	18518	5407
774	18543	5383
775	18567	5359
776	18591	5335
777	18613	5311
778	18638	5287
779	18660	5263
780	18680	5238
781	18706	5214
782	18733	5191
783	18762	5169
784	18790	5146
785	18813	5122
786	18836	5098
787	18860	5074
788	18884	5050
789	18908	5026
790	18936	5003
791	18961	4979
792	18982	4955
793	19006	4931
794	19029	4906
795	19051	4882
796	19074	4858
797	19109	4837
798	19131	4812
799	19157	4789
800	19180	4765
801	19203	4741
802	19226	4716
803	19249	4692
804	19279	4670
805	19308	4647
806	19334	4624
807	19361	4600
808	19390	4577
809	19417	4554
810	19446	4531
811	19473	4508
812	19499	4485
813	19525	4461
814	19551	4438
815	19578	4414
816	19608	4392
817	19635	4368
818	19661	4345
819	19690	4322
820	19718	4299
821	19743	4275
822	19768	4251
823	19796	4228
824	19861	4213
825	19903	4192
826	19933	4169
827	19962	4146
828	19989	4123
829	20017	4099
830	20043	4076
831	20066	4051
832	20093	4028
833	20118	4004
834	20145	3980
835	20171	3957
836	20197	3933
837	20225	3909
838	20253	3886
839	20278	3862
840	20306	3839
841	20334	3815
842	20366	3793
843	20390	3768
844	20417	3745
845	20446	3722
846	20475	3698
847	20504	3675
848	20532	3651
849	20562	3628
850	20588	3604
851	20614	3581
852	20644	3557
853	20671	3534
854	20701	3510
855	20727	3486
856	20759	3463
857	20792	3441
858	20821	3417
859	20848	3393
860	20876	3370
861	20920	3349
862	20958	3327
863	20986	3303
864	21042	3284
865	21076	3261
866	21101	3237
867	21125	3212
868	21148	3188
869	21170	3163
870	21194	3139
871	21219	3114
872	21243	3090
873	21266	3065
874	21289	3041
875	21312	3016
876	21334	2992
877	21357	2967
878	21383	2943
879	21410	2919
880	21438	2895
881	21464	2871
882	21498	2848
883	21527	2824
884	21550	2800
885	21576	2776
886	21602	2752
887	21626	2727
888	21651	2703
889	21675	2678
890	21696	2654
891	21719	2629
892	21744	2605
893	21767	2580
894	21794	2556
895	21817	2532
896	21843	2508
897	21870	2484
898	21896	2460
899	21920	2435
900	21944	2411
901	21965	2386
902	21989	2362
903	22010	2337
904	22033	2312
905	22058	2288
906	22082	2264
907	22105	2239
908	22128	2215
909	22152	2190
910	22174	2166
911	22197	2141
912	22221	2117
913	22245	2093
914	22269	2068
915	22295	2044
916	22317	2020
917	22359	1997
918	22405	1974
919	22443	1951
920	22475	1927
921	22504	1903
922	22530	1879
923	22555	1855
924	22581	1830
925	22607	1806
926	22632	1782
927	22655	1757
928	22681	1733
929	22710	1709
930	22733	1684
931	22756	1660
932	22777	1635
933	22799	1611
934	22821	1586
935	22842	1561
936	22863	1537
937	22885	1512
938	22908	1488
939	22930	1463
940	22955	1439
941	22978	1414
942	23001	1390
943	23024	1365
944	23048	1341
945	23072	1317
946	23095	1292
947	23119	1268
948	23142	1243
949	23166	1219
950	23191	1194
951	23216	1170
952	23240	1146
953	23265	1121
954	23289	1097
955	23312	1072
956	23336	1048
957	23361	1024
958	23384	999
959	23408	975
960	23429	950
961	23452	926
962	23475	901
963	23499	877
964	23524	853
965	23547	828
966	23569	804
967	23592	779
968	23616	755
969	23638	731
970	23661	706
971	23683	682
972	23704	657
973	23727	633
974	23752	609
975	23778	584
976	23832	561
977	23873	537
978	23912	512
979	23949	488
980	23983	464
981	24014	440
982	24042	415
983	24071	391
984	24095	366
985	24119	342
986	24142	317
987	24164	293
988	24188	269
989	24211	244
990	24232	220
991	24256	195
992	24279	171
993	24299	146
994	24320	122
995	24343	97
996	24366	73
997	24388	48
998	24414	24
999	24437	0
